team,goals_scored,Total shots,Shots on target,Accurate passes,Fouls committed,Corners,Interceptions,Blocks,Clearances,Keeper saves,Yellow cards,Red cards,Duels won,Successful dribbles,Shots on target..1
Austria,3.0,9.0,,344.0,16.0,2.0,0.0,16.0,10.0,3.0,14.0,0.0,49.0,7.0,5.0
Serbia,0.0,5.0,,462.0,5.0,2.0,0.0,7.0,8.0,2.0,25.0,3.0,46.0,2.0,1.0
Slovenia,0.0,4.0,,462.0,9.0,0.0,0.0,10.0,4.0,4.0,24.0,3.0,35.0,4.0,1.0
Romania,1.0,9.0,,455.0,10.0,1.0,0.0,7.0,7.0,2.0,29.0,3.0,39.0,7.0,5.0
Belgium,0.0,12.0,,455.0,8.0,7.0,0.0,3.0,2.0,4.0,10.0,4.0,32.0,8.0,4.0
Turkiye,2.0,18.0,,364.0,9.0,7.0,0.0,11.0,4.0,3.0,19.0,5.0,60.0,12.0,5.0
Portugal,0.0,22.0,,364.0,11.0,11.0,0.0,10.0,8.0,1.0,10.0,1.0,49.0,13.0,5.0
Italy,0.0,11.0,,368.0,15.0,6.0,0.0,10.0,8.0,6.0,17.0,2.0,39.0,7.0,1.0
Denmark,0.0,11.0,,368.0,15.0,6.0,0.0,12.0,4.0,1.0,18.0,7.0,40.0,4.0,2.0
Slovakia,1.0,13.0,,373.0,19.0,1.0,0.0,12.0,9.0,7.0,44.0,0.0,61.0,2.0,3.0
Georgia,1.0,4.0,,373.0,5.0,3.0,0.0,10.0,7.0,11.0,28.0,9.0,41.0,7.0,0.0
Belgium,0.0,5.0,,609.0,10.0,2.0,0.0,11.0,7.0,1.0,18.0,2.0,40.0,6.0,2.0
Slovenia,0.0,10.0,,609.0,17.0,4.0,0.0,22.0,9.0,6.0,37.0,6.0,72.0,7.0,2.0
Netherlands,3.0,23.0,,430.0,9.0,13.0,0.0,4.0,9.0,1.0,23.0,1.0,47.0,11.0,6.0
Turkiye,2.0,6.0,,430.0,5.0,4.0,0.0,8.0,13.0,7.0,55.0,4.0,56.0,7.0,3.0
Germany,1.0,23.0,,505.0,22.0,5.0,0.0,14.0,9.0,3.0,19.0,4.0,56.0,7.0,5.0
France,0.0,20.0,,505.0,13.0,4.0,0.0,13.0,6.0,6.0,35.0,4.0,48.0,14.0,5.0
Switzerland,1.0,11.0,,286.0,13.0,3.0,0.0,12.0,3.0,8.0,30.0,2.0,42.0,7.0,3.0
Turkiye,1.0,15.0,,286.0,7.0,7.0,1.0,7.0,12.0,3.0,15.0,3.0,47.0,5.0,4.0
